employer_name,employer_name_normalized,city,state,union_name,affiliation_code,local_number,num_employees,recognition_type,recognition_date,naics_sector,source_description,notes,agent_source
Metropolitan Museum of Art,metropolitan museum art,New York,NY,UAW Local 2110,UAW,2110,700,NLRB_ELECTION,2026-01-15,71,Met Museum workers voted to unionize with UAW Local 2110,Largest US art museum unionization,NY_DISCOVERY
American Folk Art Museum,american folk art museum,New York,NY,UAW Local 2110,UAW,2110,50,NLRB_ELECTION,2024-06-01,71,Folk Art Museum staff organized with UAW Local 2110,Part of NYC museum wave,NY_DISCOVERY
Solomon R. Guggenheim Museum,solomon guggenheim museum,New York,NY,UAW Local 2110,UAW,2110,100,NLRB_ELECTION,2023-01-01,71,Guggenheim workers ratified first contract,First contract achieved,NY_DISCOVERY
Conde Nast,conde nast,New York,NY,NewsGuild-CWA Local 31003,CWA,31003,500,NLRB_ELECTION,2022-03-01,51,Conde Nast workers organized with NewsGuild-CWA,"Vogue, GQ, Vanity Fair editorial staff",NY_DISCOVERY
New York Times (Tech Guild),new york times technology guild,New York,NY,NewsGuild-CWA Local 31003,CWA,31003,600,NLRB_ELECTION,2022-03-03,51,NYT Tech Guild organized tech workers with CWA,Tech workers separate from editorial NewsGuild unit,NY_DISCOVERY
CBS News Digital,cbs news digital,New York,NY,WGA East,UNAFF,,100,NLRB_ELECTION,2023-06-01,51,CBS News Digital staff organized with WGA East,Digital news producers and writers,NY_DISCOVERY
Lemonada Media,lemonada media,New York,NY,WGA East,UNAFF,,30,VOLUNTARY,2023-09-01,51,Podcast company Lemonada Media voluntarily recognized WGA East,Podcast workers,NY_DISCOVERY
Cannabis Industry Workers (NY - aggregate),cannabis industry workers ny aggregate,New York,NY,RWDSU/UFCW Local 338,RWDSU,338,600,VOLUNTARY,2023-06-01,44,NY cannabis LPA framework requires labor peace; 600+ workers via Local 338,Aggregate - multiple dispensaries and grow facilities under NY LPA,NY_DISCOVERY
Riverview Nursery,riverview nursery,Rensselaer,NY,United Farm Workers,UNAFF,,60,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
H&H Farms,farms,Canandaigua,NY,United Farm Workers,UNAFF,,45,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Torrey Farms,torrey farms,Elba,NY,United Farm Workers,UNAFF,,80,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Marks Farms,marks farms,Lowville,NY,United Farm Workers,UNAFF,,50,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Wafler Farms,wafler farms,Wolcott,NY,United Farm Workers,UNAFF,,40,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Ellsworth & Rose,ellsworth rose,Albion,NY,United Farm Workers,UNAFF,,35,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
LynOaken Farms,lynoaken farms,Medina,NY,United Farm Workers,UNAFF,,50,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Home Health Aides (HHWA - aggregate NY),home health aides hhwa aggregate ny,New York,NY,1199SEIU,SEIU,1199,6700,VOLUNTARY,2022-01-01,62,HHWA voluntary recognition for home care workers across 15+ agencies,Controversial rapid recognition model; aggregate for multiple home care agencies,NY_DISCOVERY
Legal Aid Society,legal aid society,New York,NY,UAW Local 2325 (ALAA),UAW,2325,1800,COLLECTIVE_BARGAINING,2021-01-01,54,ALAA-UAW represents Legal Aid Society attorneys,Largest legal services union in US; longstanding but new contract actions 2021-2025,NY_DISCOVERY
Legal Services NYC,legal services nyc,New York,NY,UAW Local 2320 (ALAA),UAW,2320,400,COLLECTIVE_BARGAINING,2021-06-01,54,ALAA-UAW represents Legal Services NYC staff attorneys,Part of ALAA network of 35+ nonprofit legal orgs,NY_DISCOVERY
Brooklyn Defender Services,brooklyn defender services,Brooklyn,NY,UAW Local 2325 (ALAA),UAW,2325,300,COLLECTIVE_BARGAINING,2022-01-01,54,ALAA-UAW represents Brooklyn Defender Services attorneys,Public defender office,NY_DISCOVERY
Bronx Defenders,bronx defenders,Bronx,NY,UAW Local 2325 (ALAA),UAW,2325,250,COLLECTIVE_BARGAINING,2022-06-01,54,ALAA-UAW represents Bronx Defenders staff,Public defender office,NY_DISCOVERY
Neighborhood Defender Service of Harlem,neighborhood defender service harlem,New York,NY,UAW Local 2325 (ALAA),UAW,2325,150,COLLECTIVE_BARGAINING,2022-01-01,54,ALAA-UAW represents NDS Harlem staff,Public defender office,NY_DISCOVERY
New York City Council,new york city council,New York,NY,CWA Local 1180,CWA,1180,382,STATE_PUBLIC,2024-01-01,92,NYC Council staff organized - first new public unit in 50 years,Central staff of NYC Council,NY_DISCOVERY
Breaking Ground,breaking ground,New York,NY,AFSCME DC 37,AFSCME,37,250,NLRB_ELECTION,2023-01-01,62,Breaking Ground nonprofit shelter workers organized with DC 37,Homeless services nonprofit,NY_DISCOVERY
Blank Street Coffee (NY - aggregate),blank street coffee ny aggregate,New York,NY,Workers United/SEIU,WU,,200,NLRB_ELECTION,2024-01-01,72,Blank Street Coffee 19 NYC stores organizing with Workers United,Aggregate - 19 stores,NY_DISCOVERY
School of Visual Arts,school visual arts,New York,NY,UAW Local 7902,UAW,7902,1200,NLRB_ELECTION,2023-06-01,61,SVA adjunct faculty organized with UAW,Adjunct faculty,NY_DISCOVERY
Mount Sinai Graduate School,mount sinai graduate school,New York,NY,UAW Local 2110,UAW,2110,800,NLRB_ELECTION,2023-09-01,61,Mount Sinai postdocs and grad students organized,Postdoctoral researchers and grad students,NY_DISCOVERY
Volkswagen Chattanooga Assembly Plant,volkswagen chattanooga assembly plant,Chattanooga,TN,UAW,UAW,,3200,NLRB_ELECTION,2024-04-19,31,VW Chattanooga voted 73% to join UAW - historic southern auto win,"First foreign-owned auto plant in South to unionize; 2,628-985 vote",CONSTRUCTION_MFG_RETAIL
Blue Bird Corporation,blue bird,Fort Valley,GA,USW,USW,,1500,NLRB_ELECTION,2024-06-14,31,Blue Bird school bus manufacturer workers voted to join USW,Only US-owned school bus manufacturer,CONSTRUCTION_MFG_RETAIL
Ultium Cells LLC (GM/LG joint venture),ultium cells gm lg joint venture,Spring Hill,TN,UAW,UAW,,1000,NLRB_ELECTION,2023-12-01,31,EV battery plant workers organized with UAW,Part of EV battery plant organizing wave,CONSTRUCTION_MFG_RETAIL
Ultium Cells LLC (GM/LG - Lordstown),ultium cells gm lg lordstown,Lordstown,OH,UAW,UAW,,1200,NLRB_ELECTION,2022-12-09,31,First EV battery plant to unionize with UAW,Lordstown facility,CONSTRUCTION_MFG_RETAIL
BlueOval SK Battery Park,blueoval sk battery park,Glendale,KY,UAW,UAW,,800,NLRB_ELECTION,2024-10-01,31,Ford/SK EV battery plant workers organizing with UAW,Ford-SK Innovation joint venture,CONSTRUCTION_MFG_RETAIL
StarPlus Energy (Samsung SDI/Stellantis),starplus energy samsung sdi stellantis,Kokomo,IN,UAW,UAW,,600,NLRB_ELECTION,2024-08-01,31,Stellantis/Samsung EV battery plant workers joined UAW,EV battery plant wave,CONSTRUCTION_MFG_RETAIL
Starbucks (aggregate - 640+ stores),starbucks aggregate 640 stores,Various,US,Workers United/SEIU,WU,,14000,NLRB_ELECTION,2022-12-09,72,640+ Starbucks stores organized with Workers United since Dec 2021,Aggregate record; individual stores in nlrb_elections; zero first contracts as of 2026,CONSTRUCTION_MFG_RETAIL
Amazon (JFK8 Warehouse),amazon jfk8 warehouse,Staten Island,NY,Amazon Labor Union / IBT,IBT,,8000,NLRB_ELECTION,2022-04-01,49,"Amazon JFK8 voted to unionize (ALU, later affiliated with Teamsters)",First Amazon warehouse to unionize; ALU merged with IBT in 2024,CONSTRUCTION_MFG_RETAIL
REI SoHo,rei soho,New York,NY,RWDSU,RWDSU,,100,NLRB_ELECTION,2022-03-02,44,REI SoHo was first REI store to unionize,11 REI stores total organized; flagship store,CONSTRUCTION_MFG_RETAIL
REI Berkeley,rei berkeley,Berkeley,CA,RWDSU,RWDSU,,80,NLRB_ELECTION,2022-08-01,44,REI Berkeley store organized with RWDSU,Part of REI wave,CONSTRUCTION_MFG_RETAIL
REI Cleveland,rei cleveland,Cleveland,OH,RWDSU,RWDSU,,70,NLRB_ELECTION,2023-03-01,44,REI Cleveland store organized,Part of REI wave,CONSTRUCTION_MFG_RETAIL
Barnes & Noble (aggregate - 7 stores),barnes noble aggregate stores,Various,US,RWDSU,RWDSU,,350,NLRB_ELECTION,2023-06-01,44,7 Barnes & Noble stores organized with RWDSU,"Aggregate - stores in NYC, NJ, IL",CONSTRUCTION_MFG_RETAIL
Apple Towson Town Center,apple towson town center,Towson,MD,IAM,IAM,,100,NLRB_ELECTION,2022-06-18,44,First Apple retail store in US to unionize,IAM Coalition of Organized Retail Employees (CORE),CONSTRUCTION_MFG_RETAIL
Apple Penn Square,apple penn square,Oklahoma City,OK,CWA,CWA,,80,NLRB_ELECTION,2022-10-14,44,Apple Penn Square store organized with CWA,Second Apple store to unionize,CONSTRUCTION_MFG_RETAIL
H&M (aggregate - 23 stores),aggregate 23 stores,Various,US,RWDSU,RWDSU,,900,NLRB_ELECTION,2023-01-01,44,23 H&M stores organized with RWDSU,Aggregate - stores across multiple states,CONSTRUCTION_MFG_RETAIL
Trader Joe's (aggregate - 8 stores),trader joes aggregate stores,Various,US,Trader Joe's United,UNAFF,,500,NLRB_ELECTION,2022-07-28,44,8 Trader Joe's stores organized with independent union,Independent union - Trader Joe's United,CONSTRUCTION_MFG_RETAIL
Activision Blizzard QA (Raven Software),activision blizzard qa raven software,Madison,WI,CWA Local 7250 (Game Workers Alliance),CWA,7250,300,NLRB_ELECTION,2022-05-23,51,First major US video game union at Raven Software QA,Game Workers Alliance; part of Microsoft/ABK acquisition,TRANSPORT_TECH_PRO
Activision Blizzard QA (Blizzard Albany),activision blizzard qa blizzard albany,Albany,NY,CWA,CWA,,200,NLRB_ELECTION,2023-07-01,51,Blizzard Albany QA workers organized with CWA,Part of ABK/Microsoft organizing wave,TRANSPORT_TECH_PRO
ZeniMax Media (Microsoft),zenimax media microsoft,Rockville,MD,CWA,CWA,,300,NLRB_ELECTION,2023-01-03,51,ZeniMax QA testers at Bethesda organized with CWA,Microsoft neutrality agreement facilitated organizing,TRANSPORT_TECH_PRO
Bethesda Game Studios (Microsoft),bethesda game studios microsoft,Rockville,MD,CWA,CWA,,241,NLRB_ELECTION,2024-03-01,51,Bethesda Game Studios developers organized with CWA,First wall-to-wall game dev union at major AAA studio,TRANSPORT_TECH_PRO
Sega of America,sega america,Irvine,CA,CWA (Allied Employees Guild Improving Sega),CWA,,150,NLRB_ELECTION,2023-04-01,51,Sega of America workers formed AEGIS union with CWA,AEGIS = Allied Employees Guild Improving Sega,TRANSPORT_TECH_PRO
Tender Claws (VR game studio),tender claws vr game studio,Los Angeles,CA,CWA,CWA,,15,VOLUNTARY,2023-05-01,51,Tender Claws VR studio voluntarily recognized CWA,Indie VR game studio,TRANSPORT_TECH_PRO
Avalanche Studios (Expansive Worlds),avalanche studios expansive worlds,New York,NY,CWA,CWA,,100,NLRB_ELECTION,2024-01-01,51,Avalanche Studios workers organized with CWA,Part of video game unionization wave,TRANSPORT_TECH_PRO
World of Warcraft (Microsoft) Game Masters,world warcraft microsoft game masters,Austin,TX,CWA,CWA,,500,NLRB_ELECTION,2024-07-01,51,WoW game masters and customer service organized under Microsoft neutrality,Largest single ABK/Microsoft unit,TRANSPORT_TECH_PRO
Keywords Studios (Fortnite QA),keywords studios fortnite qa,El Segundo,CA,CWA,CWA,,200,NLRB_ELECTION,2024-04-01,51,Keywords Studios Fortnite QA testers organized with CWA,Contractor studio for Epic Games,TRANSPORT_TECH_PRO
Bernheimer Architecture,bernheimer architecture,New York,NY,IUOE Local 15A,IUOE,15,25,VOLUNTARY,2024-01-01,54,First private-sector architecture union contract in ~80 years,Historic first - IUOE Local 15A architects,TRANSPORT_TECH_PRO
"Amazon DSP Drivers (Palmdale, CA)",amazon dsp drivers palmdale ca,Palmdale,CA,IBT,IBT,,84,NLRB_ELECTION,2024-06-01,49,Amazon DSP delivery drivers organized with Teamsters,Battle Creek Delivery LLC contractor,TRANSPORT_TECH_PRO
"Amazon DSP Drivers (Skokie, IL)",amazon dsp drivers skokie il,Skokie,IL,IBT,IBT,,100,NLRB_ELECTION,2024-09-01,49,Amazon DSP delivery drivers organized with Teamsters,Contractor delivery service provider,TRANSPORT_TECH_PRO
Half Price Books (aggregate - multiple stores),half price books aggregate multiple stores,Various,US,CWA,CWA,,200,NLRB_ELECTION,2023-09-01,44,Multiple Half Price Books stores organizing with CWA,Bookstore chain retail workers,TRANSPORT_TECH_PRO
Stanford University Graduate Workers,stanford university graduate workers,Stanford,CA,UAW / UE,UAW,,3000,NLRB_ELECTION,2023-04-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Yale University Graduate Workers,yale university graduate workers,New Haven,CT,UAW / UE,UAW,,3500,NLRB_ELECTION,2023-01-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Northwestern University Graduate Workers,northwestern university graduate workers,Evanston,IL,UAW / UE,UAW,,2800,NLRB_ELECTION,2022-11-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Johns Hopkins University Graduate Workers,johns hopkins university graduate workers,Baltimore,MD,UAW / UE,UAW,,4000,NLRB_ELECTION,2023-03-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Cornell University Graduate Workers,cornell university graduate workers,Ithaca,NY,UAW / UE,UAW,,2400,NLRB_ELECTION,2022-03-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Duke University Graduate Workers,duke university graduate workers,Durham,NC,UAW / UE,UAW,,2800,NLRB_ELECTION,2023-03-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
University of Chicago Graduate Workers,university chicago graduate workers,Chicago,IL,UAW / UE,UAW,,3500,NLRB_ELECTION,2023-04-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
MIT Graduate Workers,mit graduate workers,Cambridge,MA,UAW / UE,UAW,,4000,NLRB_ELECTION,2022-04-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
University of Minnesota Graduate Workers,university minnesota graduate workers,Minneapolis,MN,UAW / UE,UAW,,4300,NLRB_ELECTION,2023-10-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Indiana University Graduate Workers,indiana university graduate workers,Bloomington,IN,UAW / UE,UAW,,3500,NLRB_ELECTION,2022-05-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Boston University Graduate Workers,boston university graduate workers,Boston,MA,UAW / UE,UAW,,3800,NLRB_ELECTION,2023-03-15,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
University of Southern California Graduate Workers,university southern california graduate workers,Los Angeles,CA,UAW / UE,UAW,,5000,NLRB_ELECTION,2023-12-01,61,Graduate student workers organized 2021-2023 wave,"Part of 63,680 grad students newly organized; most affiliated with UAW or UE",EDUCATION_HEALTHCARE
Cal State University System (Student Workers),cal state university system student workers,Long Beach,CA,UAW,UAW,,20000,NLRB_ELECTION,2023-11-01,61,Cal State student workers organized with UAW,Undergraduate student workers,EDUCATION_HEALTHCARE
University of Oregon (Student Workers),university oregon student workers,Eugene,OR,SEIU,SEIU,,4000,NLRB_ELECTION,2023-05-01,61,U of Oregon student workers organized with SEIU,Student workers,EDUCATION_HEALTHCARE
University of Southern California (Adjunct Faculty),university southern california adjunct faculty,Los Angeles,CA,SEIU,SEIU,,2500,NLRB_ELECTION,2024-01-01,61,USC adjunct faculty filing with SEIU,Non-tenure-track faculty,EDUCATION_HEALTHCARE
Charter Schools (aggregate - Boston/DC/Providence),charter schools aggregate boston dc providence,Various,US,AFT,AFT,,800,NLRB_ELECTION,2023-01-01,61,"AFT organizing across 15+ charter schools in Boston, DC, Providence",Aggregate - charter school teacher organizing wave,EDUCATION_HEALTHCARE
Corewell Health,corewell health,Grand Rapids,MI,SEIU Healthcare Michigan,SEIU,,9600,NLRB_ELECTION,2024-01-01,62,"Corewell Health 9,600 nurses - largest NLRB election in 20+ years",Spectrum Health + Beaumont merger system; nurses across multiple hospitals,EDUCATION_HEALTHCARE
Sharp HealthCare,sharp healthcare,San Diego,CA,SEIU-UHW,SEIU,,6000,NLRB_ELECTION,2024-06-01,62,"Sharp HealthCare 6,000 workers across entire system",San Diego health system,EDUCATION_HEALTHCARE
Legacy Health,legacy health,Portland,OR,ONA/AFT,AFT,,3200,NLRB_ELECTION,2023-09-01,62,"Legacy Health 3,200+ nurses organized in Portland",Oregon Nurses Association / AFT affiliate,EDUCATION_HEALTHCARE
UPMC Magee-Womens Hospital,upmc magee womens hospital,Pittsburgh,PA,SEIU Healthcare PA,SEIU,,1200,NLRB_ELECTION,2023-10-01,62,First-ever UPMC hospital to unionize,Breakthrough at famously anti-union UPMC system,EDUCATION_HEALTHCARE
Michigan Home Care Workers (aggregate),michigan home care workers aggregate,Lansing,MI,SEIU Healthcare Michigan,SEIU,,35000,STATE_PUBLIC,2023-04-01,62,Michigan home care workers regained union rights after legislative change,Gov. Whitmer restored collective bargaining for home care aides,EDUCATION_HEALTHCARE
CIR-SEIU Resident Physicians (aggregate - nationwide),cir seiu resident physicians aggregate nationwide,Various,US,CIR-SEIU,SEIU,,12000,NLRB_ELECTION,2024-01-01,62,CIR-SEIU doubled to 37K members; 12K new 2021-2025. Philadelphia 83% of residents unionized,"Aggregate new members 2021-2025; includes Stanford, Keck, Penn, Jefferson, etc.",EDUCATION_HEALTHCARE
Los Angeles County Museum of Art (LACMA),los angeles county museum art lacma,Los Angeles,CA,AFSCME Cultural Workers United,AFSCME,,300,NLRB_ELECTION,2025-12-01,71,LACMA workers organized with AFSCME CWU,Part of museum AFSCME wave,ARTS_HOSPITALITY
Shedd Aquarium,shedd aquarium,Chicago,IL,AFSCME Cultural Workers United,AFSCME,,180,NLRB_ELECTION,2024-06-01,71,Shedd Aquarium workers organized with AFSCME CWU,Part of museum AFSCME wave,ARTS_HOSPITALITY
Denver Art Museum,denver art museum,Denver,CO,AFSCME Cultural Workers United,AFSCME,,180,NLRB_ELECTION,2024-09-01,71,Denver Art Museum workers organized with AFSCME CWU,Part of museum AFSCME wave,ARTS_HOSPITALITY
Monterey Bay Aquarium,monterey bay aquarium,Monterey,CA,AFSCME Cultural Workers United,AFSCME,,350,NLRB_ELECTION,2024-03-01,71,Monterey Bay Aquarium workers organized with AFSCME CWU,Part of museum AFSCME wave,ARTS_HOSPITALITY
Philadelphia Museum of Art,philadelphia museum art,Philadelphia,PA,AFSCME DC 47,AFSCME,47,250,NLRB_ELECTION,2022-10-01,71,Philadelphia Museum of Art workers organized - went on 19-day strike,First strike in museum history,ARTS_HOSPITALITY
The Public Theater,public theater,New York,NY,IATSE,IATSE,,190,NLRB_ELECTION,2023-06-01,71,Public Theater off-Broadway stagehands organized with IATSE,Part of off-Broadway IATSE surge,ARTS_HOSPITALITY
Goodman Theatre,goodman theatre,Chicago,IL,IATSE,IATSE,,80,NLRB_ELECTION,2023-09-01,71,Goodman Theatre workers organized with IATSE,Regional theater organizing,ARTS_HOSPITALITY
Steppenwolf Theatre,steppenwolf theatre,Chicago,IL,IATSE,IATSE,,60,NLRB_ELECTION,2024-01-01,71,Steppenwolf Theatre workers organized with IATSE,Regional theater organizing,ARTS_HOSPITALITY
The Venetian Resort,venetian resort,Las Vegas,NV,UNITE HERE Culinary Local 226,UNITHE,226,4000,VOLUNTARY,2024-01-01,72,Venetian/Palazzo voluntarily recognized UNITE HERE after decades of resistance,Las Vegas Strip now 100% union; may already be in manual_employers,ARTS_HOSPITALITY
Fontainebleau Las Vegas,fontainebleau las vegas,Las Vegas,NV,UNITE HERE Culinary Local 226,UNITHE,226,3000,VOLUNTARY,2024-06-01,72,Fontainebleau Las Vegas recognized UNITE HERE,New mega-resort; Las Vegas Strip 100% union,ARTS_HOSPITALITY
Disneyland Resort (Character Performers),disneyland resort character performers,Anaheim,CA,Actors Equity Association,UNAFF,,1700,NLRB_ELECTION,2024-05-01,71,Disneyland character performers organized with Actors Equity,"Parade performers, characters, costume performers",ARTS_HOSPITALITY
Jose Andres Group / ThinkFoodGroup,jose andres group thinkfoodgroup,Washington,DC,UNITE HERE,UNITHE,25,140,VOLUNTARY,2024-01-15,72,Jose Andres Group voluntarily recognized UNITE HERE Local 25,The Bazaar restaurant workers,ARTS_HOSPITALITY
Alamo Drafthouse Cinema (aggregate - multi-city),alamo drafthouse cinema aggregate multi city,Various,US,IATSE,IATSE,,400,NLRB_ELECTION,2023-12-01,71,Alamo Drafthouse workers organized in multiple cities; 58-day NYC strike,"Aggregate - Brooklyn, Raleigh, others; IATSE",ARTS_HOSPITALITY
Via 313 Pizza,via 313 pizza,Austin,TX,UNITE HERE,UNITHE,,100,NLRB_ELECTION,2024-03-01,72,Via 313 Austin pizza workers organized with UNITE HERE,Restaurant organizing in Texas,ARTS_HOSPITALITY
"Amazon (Garner, NC Warehouse RDU1)",amazon garner nc warehouse rdu1,Garner,NC,CAUSE (Carolina Amazonians United for Solidarity & Empowerment),UNAFF,,4800,NLRB_ELECTION,2025-02-01,49,Amazon Garner NC warehouse voted to unionize with independent union,Second Amazon warehouse to unionize after JFK8,ADDITIONAL
Apple Short Hills,apple short hills,Short Hills,NJ,IAM,IAM,,90,NLRB_ELECTION,2024-06-01,44,Apple Short Hills store organized with IAM,Third Apple store to unionize,ADDITIONAL
"Chipotle (Lansing, MI)",chipotle lansing mi,Lansing,MI,IBT,IBT,,25,NLRB_ELECTION,2022-08-25,72,First Chipotle store to unionize with Teamsters,Store later closed by company (ULP filed),ADDITIONAL
SpaceX (Hawthorne),spacex hawthorne,Hawthorne,CA,IAM,IAM,,300,NLRB_ELECTION,2024-10-01,31,SpaceX workers filed for NLRB election with IAM (challenged by company),SpaceX challenged NLRB constitutionality; ongoing litigation,ADDITIONAL
Alphabet/Google (Accenture contractors),alphabet google accenture contractors,Austin,TX,CWA / Alphabet Workers Union,CWA,1400,60,NLRB_ELECTION,2023-04-01,51,Google/YouTube Music contractors organized with CWA/Alphabet Workers Union,Accenture contract workers processing YouTube Music,ADDITIONAL
Fordham University Graduate Workers,fordham university graduate workers,Bronx,NY,CWA,CWA,,1200,NLRB_ELECTION,2022-10-01,61,Fordham grad workers organized with CWA,Graduate student workers,ADDITIONAL
New York University (Researchers United),new york university researchers united,New York,NY,UAW,UAW,,4000,NLRB_ELECTION,2025-01-01,61,"NYU Researchers United - 4,000 postdocs/researchers pending election",Pending as of 2025,ADDITIONAL
Starbucks Reserve Roastery,starbucks reserve roastery,New York,NY,Workers United/SEIU,WU,,100,NLRB_ELECTION,2023-06-01,72,Starbucks Reserve Roastery organized in NYC,Premium Starbucks concept; separate from aggregate count,ADDITIONAL
