method,path,module,function,description,tables_in_router,smoketest_status
GET,/,api.main,serve_frontend,,,200
GET,/api/admin/data-freshness,api.routers.organizing,get_data_freshness,Return freshness info for all data sources.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/admin/refresh-freshness,api.routers.organizing,refresh_freshness,Re-query all data sources to update freshness counts and dates.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/admin/refresh-scorecard,api.routers.organizing,refresh_scorecard,Refresh the mv_organizing_scorecard materialized view.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/auth/login,api.routers.auth,login,Authenticate and receive a JWT token.,public.platform_users,
GET,/api/auth/me,api.routers.auth,current_user,Get the current authenticated user.,public.platform_users,400
POST,/api/auth/refresh,api.routers.auth,refresh_token,Refresh the current token (must be authenticated).,public.platform_users,
POST,/api/auth/register,api.routers.auth,register,Create a new user. First user bootstraps as admin; subsequent require admin token.,public.platform_users,
GET,/api/corporate/family/{employer_id},api.routers.corporate,get_corporate_family,Get related employers (corporate family) - ownership hierarchy + name similarity + multi-employer groups,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/corporate/hierarchy/search,api.routers.corporate,search_corporate_hierarchy,"Search corporate hierarchy by name, EIN, or ticker",public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/corporate/hierarchy/stats,api.routers.corporate,get_corporate_hierarchy_stats,Get overall corporate hierarchy statistics,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/corporate/hierarchy/{employer_id},api.routers.corporate,get_corporate_hierarchy,Get ownership-based corporate hierarchy for an employer.,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/corporate/sec/{cik},api.routers.corporate,get_sec_company,Get SEC company profile by CIK number,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/density/all,api.routers.density,get_all_density,Get union density for all NAICS sectors,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/by-county,api.routers.density,get_density_by_county,Get estimated union density for counties,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,500
GET,/api/density/by-county/{fips},api.routers.density,get_county_density_detail,Get detailed density estimate for a specific county,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/by-county/{fips}/industry,api.routers.density,get_county_industry_detail,Get industry composition and density calculation for a single county,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/by-govt-level,api.routers.density,get_density_by_govt_level,Get estimated union density by government level (federal/state/local) for all states,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,500
GET,/api/density/by-govt-level/{state},api.routers.density,get_state_density_by_govt_level,Get estimated union density by government level for a specific state,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/by-state,api.routers.density,get_density_by_state,Get union density by state (private and public sector),public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/by-state/{state}/counties,api.routers.density,get_state_counties_density,Get all county density estimates for a state,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/by-state/{state}/history,api.routers.density,get_state_density_history,Get historical union density for a state,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/county-summary,api.routers.density,get_county_density_summary,Get summary statistics for county density estimates,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,500
GET,/api/density/industry-rates,api.routers.density,get_industry_density_rates,Get BLS industry union density rates (2024),public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/naics/{naics_2digit},api.routers.density,get_naics_density,Get union density data for a NAICS 2-digit sector,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/ny/counties,api.routers.density,get_ny_county_density,Get union density estimates for all 62 NY counties,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/ny/county/{fips},api.routers.density,get_ny_county_density_detail,Get detailed density breakdown for a single NY county,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/ny/summary,api.routers.density,get_ny_density_summary,Get summary statistics for NY density estimates at all geographic levels,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/ny/tract/{tract_fips},api.routers.density,get_ny_tract_density_detail,Get detailed density breakdown for a single NY census tract,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/ny/tracts,api.routers.density,get_ny_tract_density,Get union density estimates for NY census tracts,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/ny/zip/{zip_code},api.routers.density,get_ny_zip_density_detail,Get detailed density breakdown for a single NY ZIP code,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/density/ny/zips,api.routers.density,get_ny_zip_density,Get union density estimates for NY ZIP codes,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/state-industry-comparison,api.routers.density,get_state_industry_comparison,Get state-level expected vs actual private sector density comparison,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,200
GET,/api/density/state-industry-comparison/{state},api.routers.density,get_state_industry_detail,Get detailed industry composition and density comparison for a single state,public.bls_industry_density; public.bls_naics_mapping; public.bls_union_data; public.bls_union_series; public.county_industry_shares; public.county_union_density_estimates; public.county_workforce_shares; public.naics_sectors; public.ny_county_density_estimates; public.ny_tract_density_estimates; public.ny_zip_density_estimates; public.state_govt_level_density; public.state_industry_density_comparison; public.state_sector_union_density; public.state_workforce_shares; public.v_naics_union_density; public.v_state_density_latest,
GET,/api/employer/{employer_id}/agreement,api.routers.corporate,get_employer_agreement_info,Get multi-employer agreement context for an employer,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/employer/{employer_id}/projections,api.routers.projections,get_employer_projections,Get industry outlook and top occupations for an employer based on their NAICS,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/employers/by-naics-detailed/{naics_code},api.routers.employers,get_employers_by_detailed_naics,Get employers with a specific detailed NAICS code,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/cities,api.routers.employers,get_cities_for_state,"Get cities for a state, ordered by employer count",public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
POST,/api/employers/flags,api.routers.employers,create_flag,Create a review flag for an employer.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/flags/by-employer/{canonical_id:path},api.routers.employers,get_employer_flags,Get all review flags for an employer by canonical_id.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/flags/by-source,api.routers.employers,get_flags_by_source,Get review flags by source_type and source_id directly (for scorecard items).,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/flags/pending,api.routers.employers,get_pending_flags,Get all flagged employers for review queue.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
DELETE,/api/employers/flags/{flag_id},api.routers.employers,delete_flag,Remove a review flag.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/fuzzy-search,api.routers.employers,fuzzy_search_employers,Fuzzy search using pg_trgm similarity - catches typos and variations,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/normalized-search,api.routers.employers,normalized_search_employers,"Search with normalized names - strips Inc, LLC, Corp, etc.",public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
POST,/api/employers/refresh-search,api.routers.employers,refresh_unified_search,Refresh the materialized view for unified employer search.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/search,api.routers.employers,search_employers,Search employers with filters. Use sector=PUBLIC_SECTOR to search public sector employers.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/employers/unified-detail/{canonical_id:path},api.routers.employers,unified_employer_detail,Get employer detail with cross-references from all sources.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/unified-search,api.routers.employers,unified_employer_search,"Search across all employer sources (F7, NLRB, VR, Manual) with deduplication.",public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/employers/unified/search,api.routers.employers,search_unified_employers,"Search all unified employers across all sources (F7, NLRB, VR, PUBLIC)",public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/employers/unified/sources,api.routers.employers,get_unified_source_types,Get list of source types with counts,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,422
GET,/api/employers/unified/stats,api.routers.employers,get_unified_employer_stats,Get statistics for unified employers by source type,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/employers/unified/{unified_id},api.routers.employers,get_unified_employer,Get details for a specific unified employer including OSHA matches,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/{employer_id},api.routers.employers,get_employer_detail,Get full employer details including NLRB history,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
GET,/api/employers/{employer_id}/comparables,api.routers.employers,get_employer_comparables,Get the top-5 most similar unionized employers for a given mergent employer.,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,
