method,path,file,function,depends,query_validation,dynamic_sql_fstring,mentions_limit
POST,/api/auth/login,auth.py,login,,False,False,False
POST,/api/auth/register,auth.py,register,,False,False,False
POST,/api/auth/refresh,auth.py,refresh_token,,False,False,False
GET,/api/auth/me,auth.py,current_user,,False,False,False
GET,/api/cba/provisions/search,cba.py,search_cba_provisions,,True,True,True
GET,/api/cba/provisions/classes,cba.py,list_cba_provision_classes,,False,False,False
GET,/api/cba/documents/{cba_id:int},cba.py,get_cba_document_detail,,True,False,True
GET,/api/multi-employer/stats,corporate.py,get_multi_employer_stats,,False,False,True
GET,/api/multi-employer/groups,corporate.py,get_multi_employer_groups,,True,False,True
GET,/api/employer/{employer_id}/agreement,corporate.py,get_employer_agreement_info,,False,False,True
GET,/api/employers/{employer_id}/matches,corporate.py,get_employer_match_provenance,,False,False,False
GET,/api/corporate/family/{employer_id},corporate.py,get_corporate_family,,False,False,True
GET,/api/corporate/hierarchy/stats,corporate.py,get_corporate_hierarchy_stats,,False,False,False
GET,/api/corporate/hierarchy/search,corporate.py,search_corporate_hierarchy,,True,False,True
GET,/api/corporate/hierarchy/{employer_id},corporate.py,get_corporate_hierarchy,,True,False,True
GET,/api/corporate/sec/{cik},corporate.py,get_sec_company,,False,False,False
GET,/api/density/naics/{naics_2digit},density.py,get_naics_density,,False,False,True
GET,/api/density/all,density.py,get_all_density,,False,False,False
GET,/api/density/by-state,density.py,get_density_by_state,,False,False,False
GET,/api/density/by-state/{state}/history,density.py,get_state_density_history,,False,False,False
GET,/api/density/by-govt-level,density.py,get_density_by_govt_level,,False,False,False
GET,/api/density/by-govt-level/{state},density.py,get_state_density_by_govt_level,,False,False,False
GET,/api/density/by-county,density.py,get_density_by_county,,False,True,True
GET,/api/density/by-county/{fips},density.py,get_county_density_detail,,False,False,False
GET,/api/density/by-state/{state}/counties,density.py,get_state_counties_density,,False,False,False
GET,/api/density/county-summary,density.py,get_county_density_summary,,False,False,True
GET,/api/density/industry-rates,density.py,get_industry_density_rates,,False,False,False
GET,/api/density/state-industry-comparison,density.py,get_state_industry_comparison,,True,True,False
GET,/api/density/state-industry-comparison/{state},density.py,get_state_industry_detail,,False,False,False
GET,/api/density/by-county/{fips}/industry,density.py,get_county_industry_detail,,False,False,False
GET,/api/density/ny/counties,density.py,get_ny_county_density,,True,True,False
GET,/api/density/ny/county/{fips},density.py,get_ny_county_density_detail,,False,False,False
GET,/api/density/ny/zips,density.py,get_ny_zip_density,,True,True,True
GET,/api/density/ny/zip/{zip_code},density.py,get_ny_zip_density_detail,,False,False,False
GET,/api/density/ny/tracts,density.py,get_ny_tract_density,,True,True,True
GET,/api/density/ny/tract/{tract_fips},density.py,get_ny_tract_density_detail,,False,False,False
GET,/api/density/ny/summary,density.py,get_ny_density_summary,,False,False,True
GET,/api/employers/cities,employers.py,get_cities_for_state,,True,False,True
GET,/api/employers/search,employers.py,search_employers,,True,True,True
GET,/api/employers/fuzzy-search,employers.py,fuzzy_search_employers,,True,True,True
GET,/api/employers/normalized-search,employers.py,normalized_search_employers,,True,True,True
GET,/api/employers/data-coverage,employers.py,get_data_coverage,,False,False,False
GET,/api/employers/unified-search,employers.py,unified_employer_search,,True,True,True
GET,/api/employers/unified-detail/{canonical_id:path},employers.py,unified_employer_detail,,False,False,True
POST,/api/employers/flags,employers.py,create_flag,require_auth,False,False,False
GET,/api/employers/flags/pending,employers.py,get_pending_flags,,True,True,True
POST,/api/employers/refresh-search,employers.py,refresh_unified_search,require_auth,False,False,False
DELETE,/api/employers/flags/{flag_id},employers.py,delete_flag,require_auth,False,False,False
GET,/api/employers/flags/by-employer/{canonical_id:path},employers.py,get_employer_flags,,False,False,False
GET,/api/employers/flags/by-source,employers.py,get_flags_by_source,,False,False,False
GET,/api/employers/{employer_id},employers.py,get_employer_detail,,False,False,True
GET,/api/employers/{employer_id}/related-filings,employers.py,get_employer_related_filings,,False,False,False
GET,/api/admin/employer-groups,employers.py,get_employer_groups_summary,require_admin,True,False,True
GET,/api/employers/{employer_id}/similar,employers.py,get_similar_employers,,True,False,True
GET,/api/employers/{employer_id}/data-sources,employers.py,get_employer_data_sources,,False,False,False
GET,/api/employers/{employer_id}/osha,employers.py,get_employer_osha,,False,False,False
GET,/api/employers/{employer_id}/nlrb,employers.py,get_employer_nlrb,,False,False,True
GET,/api/employers/{employer_id}/nlrb-history,employers.py,get_employer_nlrb_history,,False,False,False
GET,/api/employers/{employer_id}/workforce-profile,employers.py,get_employer_workforce_profile,,True,False,True
GET,/api/naics/stats,employers.py,get_naics_stats,,False,False,True
GET,/api/employers/by-naics-detailed/{naics_code},employers.py,get_employers_by_detailed_naics,,True,False,True
GET,/api/employers/unified/stats,employers.py,get_unified_employer_stats,,False,False,False
GET,/api/employers/unified/search,employers.py,search_unified_employers,,True,True,True
GET,/api/employers/unified/{unified_id},employers.py,get_unified_employer,,False,False,False
GET,/api/osha/unified-matches,employers.py,search_osha_unified_matches,,True,True,True
GET,/api/employers/unified/sources,employers.py,get_unified_source_types,,False,False,False
GET,/api/employers/{employer_id}/comparables,employers.py,get_employer_comparables,,False,False,False
GET,/api/summary,health.py,get_platform_summary,,False,False,False
GET,/api/stats/breakdown,health.py,get_stats_breakdown,,False,True,True
GET,/api/health/details,health.py,health_check,,False,False,False
GET,/api/lookups/sectors,lookups.py,get_sectors,,False,False,False
GET,/api/lookups/affiliations,lookups.py,get_affiliations,,False,True,False
GET,/api/lookups/states,lookups.py,get_states,,False,False,False
GET,/api/lookups/naics-sectors,lookups.py,get_naics_sectors,,False,False,False
GET,/api/lookups/metros,lookups.py,get_metros,,False,False,False
GET,/api/lookups/cities,lookups.py,get_cities_lookup,,True,True,True
GET,/api/metros/{cbsa_code}/stats,lookups.py,get_metro_stats,,False,False,True
GET,/api/master/search,master.py,master_search,,True,False,False
GET,/api/master/non-union-targets,master.py,master_non_union_targets,,True,False,False
GET,/api/master/{master_id:int},master.py,master_detail,,False,False,True
GET,/api/master/stats,master.py,master_stats,,False,False,True
GET,/api/museums/targets,museums.py,search_museum_targets,,True,True,True
GET,/api/museums/targets/stats,museums.py,get_museum_target_stats,,False,False,False
GET,/api/museums/targets/{target_id},museums.py,get_museum_target_detail,,False,False,True
GET,/api/museums/targets/cities,museums.py,get_museum_target_cities,,False,False,False
GET,/api/museums/unionized,museums.py,get_unionized_museums,,True,True,True
GET,/api/museums/summary,museums.py,get_museum_sector_summary,,False,False,False
GET,/api/nlrb/summary,nlrb.py,get_nlrb_summary,,False,False,True
GET,/api/nlrb/elections/search,nlrb.py,search_nlrb_elections,,True,True,True
GET,/api/nlrb/elections/map,nlrb.py,get_nlrb_elections_map,,True,True,True
GET,/api/nlrb/elections/by-year,nlrb.py,get_nlrb_elections_by_year,,False,True,False
GET,/api/nlrb/elections/by-state,nlrb.py,get_nlrb_elections_by_state,,False,True,False
GET,/api/nlrb/elections/by-affiliation,nlrb.py,get_nlrb_elections_by_affiliation,,False,False,False
GET,/api/nlrb/election/{case_number},nlrb.py,get_nlrb_election_detail,,False,False,False
GET,/api/nlrb/ulp/search,nlrb.py,search_nlrb_ulp,,True,True,True
GET,/api/nlrb/ulp/by-section,nlrb.py,get_nlrb_ulp_by_section,,False,True,True
GET,/api/nlrb/patterns,nlrb.py,get_nlrb_patterns,,False,False,False
GET,/api/organizing/summary,organizing.py,get_organizing_summary,,False,False,False
GET,/api/organizing/by-state,organizing.py,get_organizing_by_state,,False,False,False
GET,/api/organizing/scorecard,organizing.py,get_organizing_scorecard,,True,True,True
GET,/api/organizing/scorecard/{estab_id},organizing.py,get_scorecard_detail,,False,False,True
GET,/api/organizing/siblings/{estab_id},organizing.py,get_sibling_employers,,True,False,True
POST,/api/admin/refresh-scorecard,organizing.py,refresh_scorecard,require_admin,False,False,True
GET,/api/admin/score-versions,organizing.py,get_score_versions,require_admin,True,False,True
GET,/api/admin/data-freshness,organizing.py,get_data_freshness,require_admin,False,False,False
POST,/api/admin/refresh-freshness,organizing.py,refresh_freshness,require_admin,False,False,False
GET,/api/admin/match-quality,organizing.py,get_match_quality,require_admin,False,True,True
GET,/api/admin/match-review,organizing.py,get_match_review,require_admin,True,True,True
POST,/api/admin/match-review/{match_id},organizing.py,review_match,require_admin,False,False,False
GET,/api/organizing/propensity/{employer_id},organizing.py,get_propensity,,False,False,True
GET,/api/admin/propensity-models,organizing.py,get_propensity_models,require_admin,False,False,False
GET,/api/osha/summary,osha.py,get_osha_summary,,False,False,False
GET,/api/osha/establishments/search,osha.py,search_osha_establishments,,True,True,True
GET,/api/osha/establishments/{establishment_id},osha.py,get_osha_establishment,,False,False,True
GET,/api/osha/by-state,osha.py,get_osha_by_state,,False,False,False
GET,/api/osha/high-severity,osha.py,get_osha_high_severity,,True,True,True
GET,/api/osha/organizing-targets,osha.py,get_osha_organizing_targets,,True,True,True
GET,/api/osha/employer-safety/{f7_employer_id},osha.py,get_employer_safety_profile,,False,False,False
GET,/api/profile/employers/{employer_id},profile.py,get_employer_profile,,False,False,True
GET,/api/profile/unions/{f_num},profile.py,get_union_profile,,False,False,True
GET,/api/projections/summary,projections.py,get_projections_summary,,False,False,True
GET,/api/projections/industry/{naics_code},projections.py,get_industry_projections,,False,False,False
GET,/api/projections/occupations/{naics_code},projections.py,get_occupation_projections_v2,,True,False,True
GET,/api/projections/industries/{sector},projections.py,get_sector_sub_industries,,False,False,False
GET,/api/projections/matrix/{matrix_code},projections.py,get_industry_by_matrix_code,,False,False,False
GET,/api/projections/matrix/{matrix_code}/occupations,projections.py,get_occupations_by_matrix_code,,True,False,True
GET,/api/projections/search,projections.py,search_industry_projections,,True,False,True
GET,/api/employer/{employer_id}/projections,projections.py,get_employer_projections,,False,False,True
GET,/api/projections/naics/{naics_2digit},projections.py,get_naics_projections,,True,False,False
GET,/api/projections/top,projections.py,get_top_projections,,True,True,True
GET,/api/public-sector/stats,public_sector.py,get_public_sector_stats,,False,False,False
GET,/api/public-sector/parent-unions,public_sector.py,get_public_sector_parent_unions,,False,False,False
GET,/api/public-sector/locals,public_sector.py,search_public_sector_locals,,True,True,True
GET,/api/public-sector/employers,public_sector.py,search_public_sector_employers,,True,True,True
GET,/api/public-sector/employer-types,public_sector.py,get_public_sector_employer_types,,False,False,False
GET,/api/public-sector/benchmarks,public_sector.py,get_public_sector_benchmarks,,False,False,False
GET,/status/{run_id},research.py,get_research_status,,False,False,False
GET,/result/{run_id},research.py,get_research_result,,False,False,False
GET,/runs,research.py,list_research_runs,,True,True,True
GET,/candidates,research.py,get_research_candidates,,True,False,True
GET,/vocabulary,research.py,get_fact_vocabulary,,True,False,False
GET,/strategies,research.py,get_research_strategies,,True,True,False
GET,/api/scorecard/,scorecard.py,get_scorecard_list,,True,False,False
GET,/api/scorecard/states,scorecard.py,get_scorecard_states,,False,False,False
GET,/api/scorecard/versions,scorecard.py,get_score_versions,,False,False,False
GET,/api/scorecard/versions/current,scorecard.py,get_current_score_version,,False,False,True
GET,/api/scorecard/unified,scorecard.py,get_unified_scorecard,,True,True,True
GET,/api/scorecard/unified/stats,scorecard.py,get_unified_scorecard_stats,,False,False,False
GET,/api/scorecard/unified/states,scorecard.py,get_unified_scorecard_states,,False,False,False
GET,/api/scorecard/unified/{employer_id},scorecard.py,get_unified_scorecard_detail,,False,False,False
GET,/api/scorecard/{estab_id},scorecard.py,get_scorecard_item,,False,False,False
GET,/api/sectors/list,sectors.py,list_sectors,,False,False,False
GET,/api/sectors/{sector}/summary,sectors.py,get_sector_summary,,False,False,False
GET,/api/sectors/{sector}/targets,sectors.py,search_sector_targets,,True,True,True
GET,/api/sectors/{sector}/targets/stats,sectors.py,get_sector_target_stats,,False,True,False
GET,/api/sectors/{sector}/targets/cities,sectors.py,get_sector_target_cities,,False,True,False
GET,/api/sectors/{sector}/targets/{target_id},sectors.py,get_sector_target_detail,,False,True,True
GET,/api/sectors/{sector}/unionized,sectors.py,get_sector_unionized,,True,True,True
GET,/api/health,system.py,system_health_check,,False,False,False
GET,/api/stats,system.py,system_stats,,False,False,True
GET,/api/system/data-freshness,system.py,system_data_freshness,,False,False,False
GET,/api/trends/national,trends.py,get_national_trends,,False,False,False
GET,/api/trends/affiliations/summary,trends.py,get_affiliation_trends_summary,,False,False,True
GET,/api/trends/by-affiliation/{aff_abbr},trends.py,get_affiliation_trends,,False,False,False
GET,/api/trends/states/summary,trends.py,get_state_trends_summary,,False,False,False
GET,/api/trends/by-state/{state},trends.py,get_state_trends,,False,False,False
GET,/api/trends/elections,trends.py,get_election_trends,,False,False,False
GET,/api/trends/elections/by-affiliation/{aff_abbr},trends.py,get_election_trends_by_affiliation,,False,False,False
GET,/api/trends/sectors,trends.py,get_sector_trends,,False,False,False
GET,/api/unions/cities,unions.py,get_union_cities,,True,False,True
GET,/api/unions/search,unions.py,search_unions,,True,True,True
GET,/api/unions/types,unions.py,get_union_types,,False,False,False
GET,/api/unions/national,unions.py,get_national_unions,,True,False,True
GET,/api/unions/national/{aff_abbr},unions.py,get_national_union_detail,,False,False,True
GET,/api/unions/{file_number}/organizing-capacity,unions.py,get_union_organizing_capacity,,False,False,False
GET,/api/unions/{file_number}/membership-history,unions.py,get_union_membership_history,,False,False,False
GET,/api/unions/{f_num},unions.py,get_union_detail,,False,False,True
GET,/api/unions/{f_num}/employers,unions.py,get_union_employers,,True,False,True
GET,/api/unions/locals/{affiliation},unions.py,get_locals_for_affiliation,,True,True,True
GET,/api/vr/stats/summary,vr.py,get_vr_summary,,False,False,False
GET,/api/vr/stats/by-year,vr.py,get_vr_by_year,,False,False,False
GET,/api/vr/stats/by-state,vr.py,get_vr_by_state,,False,False,False
GET,/api/vr/stats/by-affiliation,vr.py,get_vr_by_affiliation,,False,False,False
GET,/api/vr/map,vr.py,get_vr_map_data,,True,True,True
GET,/api/vr/new-employers,vr.py,get_vr_new_employers,,True,True,True
GET,/api/vr/pipeline,vr.py,get_vr_pipeline,,True,True,True
GET,/api/vr/search,vr.py,search_vr,,True,True,True
GET,/api/vr/{case_number},vr.py,get_vr_detail,,False,False,False
GET,/api/whd/summary,whd.py,get_whd_summary,,False,False,True
GET,/api/whd/search,whd.py,search_whd_cases,,True,True,True
GET,/api/whd/by-state/{state},whd.py,get_whd_by_state,,False,False,True
GET,/api/whd/employer/{employer_id},whd.py,get_whd_employer_cases,,False,False,False
GET,/api/whd/top-violators,whd.py,get_whd_top_violators,,True,True,True
