local_number,match_status,official_name,db_name,official_city,db_city,official_state,db_state,db_members,db_f_num,issues
2,MATCH,Teamsters LU No 2,TEAMSTERS,Butte,BUTTE,MT,MT,3073,1364,
3,MATCH,Teamsters LU No 3,TEAMSTERS,Quincy,QUINCY,MA,MA,405,46445,
5,MATCH,Teamsters LU No 5,TEAMSTERS,Baton Rouge,BATON ROUGE,LA,LA,311,38170,
6,MATCH,Teamsters LU No 6,TEAMSTERS,St. Louis,St. Louis,MO,MO,908,5879,
11,MATCH,Teamsters LU No 11,TEAMSTERS,North Haledon,NORTH HALEDON,NJ,NJ,2994,62025,
14,MATCH,Teamsters LU No 14,TEAMSTERS,Las Vegas,LAS VEGAS,NV,NV,4981,33295,
17,MATCH,Teamsters LU No 17,TEAMSTERS,Denver,DENVER,CO,CO,3571,25769,
19,MATCH,Teamsters LU No 19,TEAMSTERS,Houston,HOUSTON,TX,TX,2583,67095,
20,MATCH,Teamsters LU No 20,TEAMSTERS,Toledo,TOLEDO,OH,OH,5297,8580,
22,MATCH,Teamsters LU No 22,TEAMSTERS,Collinsville,COLLINSVILLE,VA,VA,572,58925,
24,MATCH,Teamsters LU No 24,TEAMSTERS,Akron,AKRON,OH,OH,761,22571,
25,DISCREPANCY,Teamsters LU No 25,TEAMSTERS,Boston,CHARLESTOWN,MA,MA,13652,33335,city: Boston vs CHARLESTOWN
26,MATCH,Teamsters LU No 26,TEAMSTERS,Champaign,CHAMPAIGN,IL,IL,1393,21922,
29,MATCH,Teamsters LU No 29,TEAMSTERS,Verona,VERONA,VA,VA,1334,60489,
30,MATCH,Teamsters LU No 30,TEAMSTERS,Jeannette,JEANNETTE,PA,PA,1965,36259,
35,MATCH,Teamsters LU No 35,TEAMSTERS,Trenton,TRENTON,NJ,NJ,726,43072,
38,MATCH,Teamsters LU No 38,TEAMSTERS,Everett,EVERETT,WA,WA,4584,23943,
41,MATCH,Teamsters LU No 41,TEAMSTERS,Kansas City,KANSAS CITY,MO,MO,6054,26749,
42,MATCH,Teamsters LU No 42,TEAMSTERS,Lynnfield,Lynnfield,MA,MA,744,17606,
50,MATCH,Teamsters LU No 50,TEAMSTERS,Swansea,Swansea,IL,IL,2160,11444,
52,MATCH,Teamsters LU No 52,TEAMSTERS,Valley View,VALLEY VIEW,OH,OH,1256,39065,
58,MATCH,Teamsters LU No 58,TEAMSTERS,Vancouver,VANCOUVER,WA,WA,2152,1854,
59,MATCH,Teamsters LU No 59,TEAMSTERS,New Bedford,NEW BEDFORD,MA,MA,1628,3771,
61,MATCH,Teamsters LU No 61,TEAMSTERS,Asheville,ASHEVILLE,NC,NC,1302,13418,
63,MATCH,Teamsters LU No 63,TEAMSTERS,Rialto,RIALTO,CA,CA,19199,508852,
70,MATCH,Teamsters LU No 70,TEAMSTERS,Oakland,OAKLAND,CA,CA,5342,10997,
71,MATCH,Teamsters LU No 71,TEAMSTERS,Charlotte,CHARLOTTE,NC,NC,2447,27210,
79,MATCH,Teamsters LU No 79,TEAMSTERS,Tampa,TAMPA,FL,FL,5705,35477,
81,MATCH,Teamsters LU No 81,TEAMSTERS,Portland,PORTLAND,OR,OR,239,11937,
87,MATCH,Teamsters LU No 87,TEAMSTERS,Bakersfield,BAKERSFIELD,CA,CA,1344,39861,
89,MATCH,Teamsters LU No 89,TEAMSTERS,Louisville,LOUISVILLE,KY,KY,19132,20926,
90,MATCH,Teamsters LU No 90,TEAMSTERS,Des Moines,DES MOINES,IA,IA,1096,26747,
92,MATCH,Teamsters LU No 92,TEAMSTERS,Canton,CANTON,OH,OH,2102,16786,
95,MATCH,Teamsters LU No 95,TEAMSTERS,Williamsburg,WILLIAMSBURG,VA,VA,368,514556,
96,MATCH,Teamsters LU No 96,TEAMSTERS,Suitland,SUITLAND,MD,MD,514,65374,
97,MATCH,Teamsters LU No 97,TEAMSTERS,Clark,CLARK,NJ,NJ,5948,35045,
100,MATCH,Teamsters LU No 100,TEAMSTERS,Cincinnati,CINCINNATI,OH,OH,4981,32509,
104,MATCH,Teamsters LU No 104,TEAMSTERS,Phoenix,PHOENIX,AZ,AZ,9288,4987,
107,MATCH,Teamsters LU No 107,TEAMSTERS,Philadelphia,PHILADELPHIA,PA,PA,2930,33820,
110,MATCH,Teamsters LU No 110,TEAMSTERS,Ebensburg,EBENSBURG,PA,PA,1212,12194,
115,MATCH,Teamsters LU No 115,TEAMSTERS,Philadelphia,PHILADELPHIA,PA,PA,1910,12292,
117,MATCH,Teamsters LU No 117,TEAMSTERS,Tukwila,TUKWILA,WA,WA,16646,5960,
118,MATCH,Teamsters LU No 118,TEAMSTERS,Rochester,ROCHESTER,NY,NY,4336,1802,
120,MATCH,Teamsters LU No 120,TEAMSTERS,Blaine,BLAINE,MN,MN,13772,1526,
122,DISCREPANCY,Teamsters LU No 122,TEAMSTERS,Boston,Dorchester,MA,MA,773,62808,city: Boston vs Dorchester
125,MATCH,Teamsters LU No 125,TEAMSTERS,Wayne,WAYNE,NJ,NJ,3951,7165,
135,MATCH,Teamsters LU No 135,TEAMSTERS,Indianapolis,INDIANAPOLIS,IN,IN,12631,9836,
137,MATCH,Teamsters LU No 137,TEAMSTERS,Redding,REDDING,CA,CA,3456,30469,
142,MATCH,Teamsters LU No 142,TEAMSTERS,Gary,GARY,IN,IN,3193,28845,
150,MATCH,Teamsters LU No 150,TEAMSTERS,Sacramento,SACRAMENTO,CA,CA,8364,3293,
162,MATCH,Teamsters LU No 162,TEAMSTERS,Portland,PORTLAND,OR,OR,6228,2370,
166,MATCH,Teamsters LU No 166,TEAMSTERS,Bloomington,BLOOMINGTON,CA,CA,7401,36206,
169,MATCH,Teamsters LU No 169,TEAMSTERS,Elkins Park,ELKINS PARK,PA,PA,1043,21839,
170,MATCH,Teamsters LU No 170,TEAMSTERS,Worcester,WORCESTER,MA,MA,3829,19903,
171,MATCH,Teamsters LU No 171,TEAMSTERS,Salem,Salem,VA,VA,1652,30338,
173,MATCH,Teamsters LU No 173,TEAMSTERS,Bradenton,BRADENTON,FL,FL,1161,10653,
174,MATCH,Teamsters LU No 174,TEAMSTERS,Tukwila,TUKWILA,WA,WA,8838,7715,
175,MATCH,Teamsters LU No 175,TEAMSTERS,South Charleston,SOUTH CHARLESTON,WV,WV,2840,1608,
177,MATCH,Teamsters LU No 177,TEAMSTERS,Hillside,HILLSIDE,NJ,NJ,15881,9355,
179,MATCH,Teamsters LU No 179,TEAMSTERS,Joliet,JOLIET,IL,IL,3280,17603,
186,MATCH,Teamsters LU No 186,TEAMSTERS,Ventura,VENTURA,CA,CA,2519,5693,
190,MATCH,Teamsters LU No 190,TEAMSTERS,Billings,BILLINGS,MT,MT,1641,17236,
191,MATCH,Teamsters LU No 191,TEAMSTERS,Bridgeport,BRIDGEPORT,CT,CT,2545,32953,
200,MATCH,Teamsters LU No 200,TEAMSTERS,Milwaukee,MILWAUKEE,WI,WI,3199,13815,
202,MATCH,Teamsters LU No 202,TEAMSTERS,Bronx,BRONX,NY,NY,4265,26719,
205,MATCH,Teamsters LU No 205,TEAMSTERS,White Oak,WHITE OAK,PA,PA,2140,10118,
206,MATCH,Teamsters LU No 206,TEAMSTERS,Portland,PORTLAND,OR,OR,2351,42547,
210,MATCH,Teamsters LU No 210,TEAMSTERS,Staten Island,STATEN ISLAND,NY,NY,10090,46272,
211,MATCH,Teamsters LU No 211,TEAMSTERS,Carnegie,CARNEGIE,PA,PA,64,27264,
215,MATCH,Teamsters LU No 215,TEAMSTERS,Evansville,EVANSVILLE,IN,IN,2373,28326,
222,MATCH,Teamsters LU No 222,TEAMSTERS,Salt Lake City,SALT LAKE CITY,UT,UT,4293,17602,
223,MATCH,Teamsters LU No 223,TEAMSTERS,Gladstone,GLADSTONE,OR,OR,2320,30334,
229,DISCREPANCY,Teamsters LU No 229,TEAMSTERS,Scranton,Dunmore,PA,PA,1429,1601,city: Scranton vs Dunmore
231,MATCH,Teamsters LU No 231,TEAMSTERS,Bellingham,BELLINGHAM,WA,WA,2335,18395,
236,MATCH,Teamsters LU No 236,TEAMSTERS,Paducah,Paducah,KY,KY,388,37965,
238,MATCH,Teamsters LU No 238,TEAMSTERS,Cedar Rapids,CEDAR RAPIDS,IA,IA,4661,6334,
243,MATCH,Teamsters LU No 243,TEAMSTERS,Plymouth Twp,PLYMOUTH,MI,MI,5188,30804,
245,MATCH,Teamsters LU No 245,TEAMSTERS,Springfield,SPRINGFIELD,MO,MO,2074,45585,
247,MATCH,Teamsters LU No 247,TEAMSTERS,Detroit,DETROIT,MI,MI,2081,28810,
249,MATCH,Teamsters LU No 249,TEAMSTERS,Pittsburgh,PITTSBURGH,PA,PA,3134,28815,
250,MATCH,Teamsters LU No 250,TEAMSTERS,Pittsburgh,PITTSBURGH,PA,PA,1399,14231,
251,DISCREPANCY,Teamsters LU No 251,TEAMSTERS,E. Providence,EAST PROVIDENCE,RI,RI,6957,30541,city: E. Providence vs EAST PROVIDENCE
252,MATCH,Teamsters LU No 252,TEAMSTERS,Centralia,CENTRALIA,WA,WA,2253,1682,
261,MATCH,Teamsters LU No 261,TEAMSTERS,New Castle,NEW CASTLE,PA,PA,1512,15399,
264,MATCH,Teamsters LU No 264,TEAMSTERS,Cheektowaga,CHEEKTOWAGA,NY,NY,3666,38823,
267,MATCH,Teamsters LU No 267,TEAMSTERS,Fort Collins,Fort Collins,CO,CO,440,517774,
270,MATCH,Teamsters LU No 270,TEAMSTERS,New Orleans,NEW ORLEANS,LA,LA,2952,37852,
272,MATCH,Teamsters LU No 272,TEAMSTERS,New York,NEW YORK CITY,NY,NY,7808,10930,
282,MATCH,Teamsters LU No 282,TEAMSTERS,Lake Success,LAKE SUCCESS,NY,NY,3357,9185,
283,MATCH,Teamsters LU No 283,TEAMSTERS,Wyandotte,WYANDOTTE,MI,MI,857,22549,
284,MATCH,Teamsters LU No 284,TEAMSTERS,Columbus,COLUMBUS,OH,OH,3139,510186,
287,MATCH,Teamsters LU No 287,TEAMSTERS,San Jose,SAN JOSE,CA,CA,0,46335,
289,MATCH,Teamsters LU No 289,TEAMSTERS,Minneapolis,MINNEAPOLIS,MN,MN,929,37328,
293,DISCREPANCY,Teamsters LU No 293,TEAMSTERS,Independence,CLEVELAND,OH,OH,1324,13201,city: Independence vs CLEVELAND
294,MATCH,Teamsters LU No 294,TEAMSTERS,Albany,ALBANY,NY,NY,5824,42415,
295,MATCH,Teamsters LU No 295,TEAMSTERS,Valley Stream,VALLEY STREAM,NY,NY,1833,15398,
299,MATCH,Teamsters LU No 299,TEAMSTERS,Detroit,DETROIT,MI,MI,3726,34784,
301,MATCH,Teamsters LU No 301,TEAMSTERS,Waukegan,WAUKEGAN,IL,IL,752,25052,
305,MATCH,Teamsters LU No 305,TEAMSTERS,Portland,PORTLAND,OR,OR,3570,5158,
313,MATCH,Teamsters LU No 313,TEAMSTERS,Tacoma,TACOMA,WA,WA,1758,43832,
315,MATCH,Teamsters LU No 315,TEAMSTERS,Martinez,MARTINEZ,CA,CA,5736,9807,
317,MATCH,Teamsters LU No 317,TEAMSTERS,Syracuse,SYRACUSE,NY,NY,4857,48830,
322,MATCH,Teamsters LU No 322,TEAMSTERS,Richmond,RICHMOND,VA,VA,1796,22443,
324,MATCH,Teamsters LU No 324,TEAMSTERS,Salem,SALEM,OR,OR,1828,34414,
325,MATCH,Teamsters LU No 325,TEAMSTERS,Rockford,ROCKFORD,IL,IL,784,42250,
326,MATCH,Teamsters LU No 326,TEAMSTERS,New Castle,NEW CASTLE,DE,DE,1480,65291,
327,MATCH,Teamsters LU No 327,TEAMSTERS,Nashville,NASHVILLE,TN,TN,743,22830,
330,MATCH,Teamsters LU No 330,TEAMSTERS,Elgin,ELGIN,IL,IL,2026,40100,
331,MATCH,Teamsters LU No 331,TEAMSTERS,Egg Harbor City,EGG HARBOR CITY,NJ,NJ,1351,11756,
332,MATCH,Teamsters LU No 332,TEAMSTERS,Flint,FLINT,MI,MI,2898,33299,
337,MATCH,Teamsters LU No 337,TEAMSTERS,Detroit,DETROIT,MI,MI,5980,33283,
340,DISCREPANCY,Teamsters LU No 340,TEAMSTERS,S. Portland,SOUTH PORTLAND,ME,ME,3701,11443,city: S. Portland vs SOUTH PORTLAND
341,MATCH,Teamsters LU No 341,TEAMSTERS,Pittsburgh,Pittsburgh,PA,PA,438,31857,
344,DISCREPANCY,Teamsters LU No 344,TEAMSTERS,Milwaukee,WEST ALLIS,WI,WI,4922,36973,city: Milwaukee vs WEST ALLIS
346,MATCH,Teamsters LU No 346,TEAMSTERS,Duluth,DULUTH,MN,MN,2007,26071,
348,MATCH,Teamsters LU No 348,TEAMSTERS,Akron,AKRON,OH,OH,1472,26316,
350,MATCH,Teamsters LU No 350,TEAMSTERS,San Francisco,SAN FRANCISCO,CA,CA,2458,34911,
355,MATCH,Teamsters LU No 355,TEAMSTERS,Baltimore,BALTIMORE,MD,MD,6031,28763,
357,MATCH,Teamsters LU No 357,TEAMSTERS,Carmel,CARMEL,IN,IN,1962,540115,
364,MATCH,Teamsters LU No 364,TEAMSTERS,South Bend,SOUTH BEND,IN,IN,2003,39529,
371,MATCH,Teamsters LU No 371,TEAMSTERS,Rock Island,ROCK ISLAND,IL,IL,929,36228,
373,MATCH,Teamsters LU No 373,TEAMSTERS,Fort Smith,FORT SMITH,AR,AR,962,43199,
377,MATCH,Teamsters LU No 377,TEAMSTERS,Youngstown,YOUNGSTOWN,OH,OH,2439,39225,
384,MATCH,Teamsters LU No 384,TEAMSTERS,Norristown,NORRISTOWN,PA,PA,4998,11689,
385,MATCH,Teamsters LU No 385,TEAMSTERS,Orlando,ORLANDO,FL,FL,8642,64705,
386,MATCH,Teamsters LU No 386,TEAMSTERS,Modesto,MODESTO,CA,CA,3593,41413,
391,MATCH,Teamsters LU No 391,TEAMSTERS,Greensboro,GREENSBORO,NC,NC,8506,34217,
396,MATCH,Teamsters LU No 396,TEAMSTERS,Covina,COVINA,CA,CA,18864,21509,
397,MATCH,Teamsters LU No 397,TEAMSTERS,Erie,ERIE,PA,PA,1292,11023,
399,MATCH,Teamsters LU No 399,TEAMSTERS,North Hollywood,NORTH HOLLYWOOD,CA,CA,5698,36960,
400,MATCH,Teamsters LU No 400,TEAMSTERS,Cleveland,CLEVELAND,OH,OH,532,9109,
401,MATCH,Teamsters LU No 401,TEAMSTERS,Wilkes-Barre,WILKES-BARRE,PA,PA,1170,31827,
402,MATCH,Teamsters LU No 402,TEAMSTERS,Muscle Shoals,MUSCLE SHOALS,AL,AL,943,23486,
404,MATCH,Teamsters LU No 404,TEAMSTERS,Springfield,SPRINGFIELD,MA,MA,709,22573,
406,MATCH,Teamsters LU No 406,TEAMSTERS,Grand Rapids,GRAND RAPIDS,MI,MI,9339,29589,
407,MATCH,Teamsters LU No 407,TEAMSTERS,Cleveland,CLEVELAND,OH,OH,2482,11109,
413,MATCH,Teamsters LU No 413,TEAMSTERS,Columbus,COLUMBUS,OH,OH,4409,15397,
414,MATCH,Teamsters LU No 414,TEAMSTERS,Fort Wayne,FORT WAYNE,IN,IN,16036,17875,
429,MATCH,Teamsters LU No 429,TEAMSTERS,Wyomissing,WYOMISSING,PA,PA,2312,33012,
431,MATCH,Teamsters LU No 431,TEAMSTERS,Fresno,FRESNO,CA,CA,2760,28816,
436,MATCH,Teamsters LU No 436,TEAMSTERS,Valley View,VALLEY VIEW,OH,OH,1956,18978,
439,MATCH,Teamsters LU No 439,TEAMSTERS,Stockton,STOCKTON,CA,CA,5406,14236,
443,MATCH,Teamsters LU No 443,TEAMSTERS,New Haven,NEW HAVEN,CT,CT,2789,35774,
445,MATCH,Teamsters LU No 445,TEAMSTERS,Rock Tavern,ROCK TAVERN,NY,NY,2277,27514,
449,MATCH,Teamsters LU No 449,TEAMSTERS,Buffalo,BUFFALO,NY,NY,2996,2199,
453,DISCREPANCY,Teamsters LU No 453,TEAMSTERS,Cumberland,WASHINGTON,MD,DC,0,1015,state: MD vs DC; city: Cumberland vs WASHINGTON
455,MATCH,Teamsters LU No 455,TEAMSTERS,Denver,DENVER,CO,CO,12099,2409,
456,MATCH,Teamsters LU No 456,TEAMSTERS,Elmsford,ELMSFORD,NY,NY,8231,21006,
463,MATCH,Teamsters LU No 463,TEAMSTERS,Fort Washington,FORT WASHINGTON,PA,PA,1491,5506,
469,MATCH,Teamsters LU No 469,TEAMSTERS,Hazlet,Hazlet,NJ,NJ,3422,22600,
471,MATCH,Teamsters LU No 471,TEAMSTERS,Minneapolis,MINNEAPOLIS,MN,MN,1073,7884,
480,MATCH,Teamsters LU No 480,TEAMSTERS,Nashville,NASHVILLE,TN,TN,4127,63169,
481,MATCH,Teamsters LU No 481,TEAMSTERS,San Diego,SAN DIEGO,CA,CA,3822,46777,
